NumID,PostID,Text,URL,Likes,Hugs,Metoos,sentiment,sentiment_tag,polarity,polarity_tag,concept_text,concept_type
1000,292874,"Every Halloween, I'd take the kid's candy and tell them I had to check it for needles, etc. I told them I had to do it in another room so it wouldnt upset them. Then, I'd steal all the Reese Cups!",http://scarymommy.com/confessions/292874/,75,2,15,0.6,P,0,AGREEMENT, Reese Halloween kid room cup candy, Occasion Person Facility Accessory CookedPlate
1001,292873,"Just made an appointment to discuss possible depression with my doctor. Hardest phone call ever. Sitting here crying now, which only confirms my desperate need to see her immediately. I hate this.",http://scarymommy.com/confessions/292873/,4,112,9,-0.4,N,0.48,DISAGREEMENT, appointment depression doctor telephone, Process Title PhoneNumber
1002,292872,I eat more calories in one day than I probably burn in one week.,http://scarymommy.com/confessions/292872/,6,11,66,Not found,Not found,Not found,Not found, calorie, Calorie
1003,292870,"I am 40 yrs old and have a 26 yr old bf. His body is like a god's! I swear I go into heat as soon as I am near him. Wish my 50 yr old h still did that for me. When the kids are grown, it may be the end for me & h.",http://scarymommy.com/confessions/292870/,19,14,3,-0.6,N,0,AGREEMENT, heat body kid, NaturalPhenomena Person
1004,292871,"I am 40 yrs old and have a 26 yr old bf. His body is like a god's! I swear I go into heat as soon as I am near him. Wish my 50 yr old h still did that for me. When the kids are grown, it may be the end for me & h.",http://scarymommy.com/confessions/292871/,6,1,0,-0.6,N,0,AGREEMENT, heat body kid, NaturalPhenomena Person
1005,292869,"My DD saw me without my bra and asked, ""When I grow up will I have brown things(nipples) that point down?"" FML",http://scarymommy.com/confessions/292869/,30,48,6,Not found,Not found,Not found,Not found, DD bra brown nipple, PoliticalParty Clothes Color FloraPart
1006,292867,I am so sick of being a Mommy and Wife I just want to be Me again. At night I think about just leaving and not coming back.,http://scarymommy.com/confessions/292867/,3,16,34,-0.6,N,0,AGREEMENT, husband, Person
1007,292866,I haven't had an orgasm in four months. I'm 27 and I just want a freaking orgasm with my husband!,http://scarymommy.com/confessions/292866/,4,23,9,Not found,Not found,Not found,Not found, orgasm husband, Process Person
1008,292863,i snapped (yelled really) at my toddler today for spilling my coffee mug on the carpet with his toy...even though i'm the asshole who put a coffee cup on the carpet with a toddler running around! :-(,http://scarymommy.com/confessions/292863/,4,35,11,-0.8,N+,0.2,AGREEMENT, toy carpet coffee asshole cup, Accessory Beverage Person Accessory
1009,292862,Just had a meeting with my daughters super sexy teacher. I am sure I was a stammering fool....he must think I am a dimwit. Stupid schoolgirl crush!,http://scarymommy.com/confessions/292862/,24,8,0,-0.55,N,0.1,AGREEMENT, meeting teacher dimwit fool schoolboy, Event Vocation Person Person Person
